task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
15	af/560271	234437	MAKE_DB:PHISPY (SAMN04875289)	COMPLETED	0	2025-07-16 13:47:32.412	1m 23s	1m 23s	186.6%	582.3 MB	1.4 GB	62.5 MB	5.9 MB
17	48/1678bb	235593	MAKE_DB:PHISPY (SAMN04875291)	COMPLETED	0	2025-07-16 13:47:37.059	1m 23s	1m 22s	186.1%	574.7 MB	1.4 GB	62.5 MB	5.9 MB
16	56/7dda92	238054	MAKE_DB:PHISPY (SAMN04875290)	COMPLETED	0	2025-07-16 13:48:55.363	1m 22s	1m 21s	189.5%	582.6 MB	1.4 GB	62.8 MB	6.1 MB
26	06/d7f594	241026	PARSE_GBK (SAMN04875298)	COMPLETED	0	2025-07-16 13:50:17.080	634ms	480ms	100.0%	16.9 MB	39 MB	12.3 MB	4.3 MB
19	91/e4be0c	238562	MAKE_DB:PHISPY (SAMN04875292)	COMPLETED	0	2025-07-16 13:49:00.245	1m 21s	1m 21s	190.6%	560.3 MB	1.4 GB	62.8 MB	6.1 MB
27	38/df5742	241666	PARSE_GBK (SAMN04875299)	COMPLETED	0	2025-07-16 13:50:21.377	510ms	421ms	133.3%	24.1 MB	47.2 MB	12 MB	4.1 MB
25	28/50200f	241774	PARSE_GBK (SAMN04875297)	COMPLETED	0	2025-07-16 13:50:21.892	490ms	426ms	135.7%	16.1 MB	37.8 MB	12.1 MB	4.2 MB
20	e6/5da983	241137	MAKE_DB:PHISPY (SAMN04875293)	COMPLETED	0	2025-07-16 13:50:17.741	1m 23s	1m 22s	186.6%	579.1 MB	1.4 GB	62.5 MB	5.9 MB
28	1c/cdbecd	241935	MAKE_DB:PHISPY (SAMN04875294)	COMPLETED	0	2025-07-16 13:50:22.396	1m 23s	1m 23s	186.3%	582.2 MB	1.4 GB	62.5 MB	5.9 MB
30	6f/0e91e0	244399	MAKE_DB:PHISPY (SAMN04875296)	COMPLETED	0	2025-07-16 13:51:40.549	1m 23s	1m 23s	185.8%	581.1 MB	1.3 GB	62.5 MB	5.9 MB
29	11/f40be1	244907	MAKE_DB:PHISPY (SAMN04875295)	COMPLETED	0	2025-07-16 13:51:45.266	1m 23s	1m 23s	187.4%	576 MB	1.4 GB	62.4 MB	5.8 MB
33	04/eac742	247368	MAKE_DB:PHISPY (SAMN04875299)	COMPLETED	0	2025-07-16 13:53:03.618	1m 21s	1m 21s	190.6%	589.4 MB	1.7 GB	62.5 MB	5.9 MB
